dataformat_pdf_section,field_idx_raw_34,row_raw_34,section_raw_34,subsection_raw_34,field_raw_34,field_idx_raw_35,row_raw_35,section_raw_35,subsection_raw_35,field_raw_35,field_id_rawx,section_rawx,field_rawx,notes
1.19 Multi-Terminal DC Transmission Line Data,16,2,MULTI-TERMINAL DC DATA,MULTI-TERMINAL DC DATA,CNVCOD,16,2,MULTI-TERMINAL DC DATA,MULTI-TERMINAL DC DATA,CNVCOD,17,ntermdcconv,cnvcod,Converter code
1.19 Multi-Terminal DC Transmission Line Data,N/A,3,N/A,MULTI-TERMINAL DC DATA,NAME,N/A,3,MULTI-TERMINAL DC DATA,MULTI-TERMINAL DC DATA,NAME,1,ntermdcbus,name,Same name in ntermdc.
1.19 Multi-Terminal DC Transmission Line Data,1,3,MULTI-TERMINAL DC DATA,MULTI-TERMINAL DC DATA,IDC,1,3,MULTI-TERMINAL DC DATA,MULTI-TERMINAL DC DATA,IDC,2,ntermdcbus,idc,dc bus number
1.19 Multi-Terminal DC Transmission Line Data,2,3,MULTI-TERMINAL DC DATA,MULTI-TERMINAL DC DATA,IB,2,3,MULTI-TERMINAL DC DATA,MULTI-TERMINAL DC DATA,IB,3,ntermdcbus,ib,ac converter bus number
1.19 Multi-Terminal DC Transmission Line Data,3,3,MULTI-TERMINAL DC DATA,MULTI-TERMINAL DC DATA,AREA,3,3,MULTI-TERMINAL DC DATA,MULTI-TERMINAL DC DATA,AREA,4,ntermdcbus,area,Area number
1.19 Multi-Terminal DC Transmission Line Data,4,3,MULTI-TERMINAL DC DATA,MULTI-TERMINAL DC DATA,ZONE,4,3,MULTI-TERMINAL DC DATA,MULTI-TERMINAL DC DATA,ZONE,5,ntermdcbus,zone,Zone number
1.19 Multi-Terminal DC Transmission Line Data,5,3,MULTI-TERMINAL DC DATA,MULTI-TERMINAL DC DATA,DCNAME,5,3,MULTI-TERMINAL DC DATA,MULTI-TERMINAL DC DATA,DCNAME,6,ntermdcbus,dcname,Alphanumeric identifier assigned to dc bus IDC
1.19 Multi-Terminal DC Transmission Line Data,6,3,MULTI-TERMINAL DC DATA,MULTI-TERMINAL DC DATA,IDC2,6,3,MULTI-TERMINAL DC DATA,MULTI-TERMINAL DC DATA,IDC2,7,ntermdcbus,idc2,Second dc bus to which converter IB is connected
1.19 Multi-Terminal DC Transmission Line Data,7,3,MULTI-TERMINAL DC DATA,MULTI-TERMINAL DC DATA,RGRND,7,3,MULTI-TERMINAL DC DATA,MULTI-TERMINAL DC DATA,RGRND,8,ntermdcbus,rgrnd,Resistance to ground at dc bus IDC; entered in ohms
1.19 Multi-Terminal DC Transmission Line Data,8,3,MULTI-TERMINAL DC DATA,MULTI-TERMINAL DC DATA,OWNER,8,3,MULTI-TERMINAL DC DATA,MULTI-TERMINAL DC DATA,OWNER,9,ntermdcbus,owner,Owner number
1.19 Multi-Terminal DC Transmission Line Data,N/A,4,N/A,MULTI-TERMINAL DC DATA,NAME,N/A,4,MULTI-TERMINAL DC DATA,MULTI-TERMINAL DC DATA,NAME,1,ntermdclink,name,Same name in ntermdc.
1.19 Multi-Terminal DC Transmission Line Data,1,4,MULTI-TERMINAL DC DATA,MULTI-TERMINAL DC DATA,IDC,1,4,MULTI-TERMINAL DC DATA,MULTI-TERMINAL DC DATA,IDC,2,ntermdclink,idc,Branch from bus dc bus number
1.19 Multi-Terminal DC Transmission Line Data,2,4,MULTI-TERMINAL DC DATA,MULTI-TERMINAL DC DATA,JDC,2,4,MULTI-TERMINAL DC DATA,MULTI-TERMINAL DC DATA,JDC,3,ntermdclink,jdc,Branch to bus dc bus number
1.19 Multi-Terminal DC Transmission Line Data,3,4,MULTI-TERMINAL DC DATA,MULTI-TERMINAL DC DATA,CKT,3,4,MULTI-TERMINAL DC DATA,MULTI-TERMINAL DC DATA,CKT,4,ntermdclink,dcckt,One-character uppercase alphanumeric branch circuit identifier
1.19 Multi-Terminal DC Transmission Line Data,4,4,MULTI-TERMINAL DC DATA,MULTI-TERMINAL DC DATA,MET,4,4,MULTI-TERMINAL DC DATA,MULTI-TERMINAL DC DATA,MET,5,ntermdclink,met,Metered end flag
1.19 Multi-Terminal DC Transmission Line Data,5,4,MULTI-TERMINAL DC DATA,MULTI-TERMINAL DC DATA,RDC,5,4,MULTI-TERMINAL DC DATA,MULTI-TERMINAL DC DATA,RDC,6,ntermdclink,rdc,"dc link resistance, entered in ohms"
1.19 Multi-Terminal DC Transmission Line Data,6,4,MULTI-TERMINAL DC DATA,MULTI-TERMINAL DC DATA,LDC,6,4,MULTI-TERMINAL DC DATA,MULTI-TERMINAL DC DATA,LDC,7,ntermdclink,ldc,"dc link inductance, entered in mH"
1.20 Multi-Section Line Grouping Data,1,1,MULTI-SECTION LINE DATA,MULTI-SECTION LINE DATA,I,1,1,MULTI-SECTION LINE DATA,MULTI-SECTION LINE DATA,I,1,msline,ibus,From bus number
1.20 Multi-Section Line Grouping Data,2,1,MULTI-SECTION LINE DATA,MULTI-SECTION LINE DATA,J,2,1,MULTI-SECTION LINE DATA,MULTI-SECTION LINE DATA,J,2,msline,jbus,To bus number
1.20 Multi-Section Line Grouping Data,3,1,MULTI-SECTION LINE DATA,MULTI-SECTION LINE DATA,ID,3,1,MULTI-SECTION LINE DATA,MULTI-SECTION LINE DATA,ID,3,msline,mslid,Two-character upper case alphanumeric multi-section line grouping identifier
1.20 Multi-Section Line Grouping Data,4,1,MULTI-SECTION LINE DATA,MULTI-SECTION LINE DATA,MET,4,1,MULTI-SECTION LINE DATA,MULTI-SECTION LINE DATA,MET,4,msline,met,Metered end flag
1.20 Multi-Section Line Grouping Data,5,1,MULTI-SECTION LINE DATA,MULTI-SECTION LINE DATA,DUM1,5,1,MULTI-SECTION LINE DATA,MULTI-SECTION LINE DATA,DUM1,5,msline,dum1,Bus numbers
1.20 Multi-Section Line Grouping Data,6,1,MULTI-SECTION LINE DATA,MULTI-SECTION LINE DATA,DUM2,6,1,MULTI-SECTION LINE DATA,MULTI-SECTION LINE DATA,DUM2,6,msline,dum2,Bus numbers
1.20 Multi-Section Line Grouping Data,7,1,MULTI-SECTION LINE DATA,MULTI-SECTION LINE DATA,DUM3,7,1,MULTI-SECTION LINE DATA,MULTI-SECTION LINE DATA,DUM3,7,msline,dum3,Bus numbers
1.20 Multi-Section Line Grouping Data,8,1,MULTI-SECTION LINE DATA,MULTI-SECTION LINE DATA,DUM4,8,1,MULTI-SECTION LINE DATA,MULTI-SECTION LINE DATA,DUM4,8,msline,dum4,Bus numbers
1.20 Multi-Section Line Grouping Data,9,1,MULTI-SECTION LINE DATA,MULTI-SECTION LINE DATA,DUM5,9,1,MULTI-SECTION LINE DATA,MULTI-SECTION LINE DATA,DUM5,9,msline,dum5,Bus numbers
1.20 Multi-Section Line Grouping Data,10,1,MULTI-SECTION LINE DATA,MULTI-SECTION LINE DATA,DUM6,10,1,MULTI-SECTION LINE DATA,MULTI-SECTION LINE DATA,DUM6,10,msline,dum6,Bus numbers
1.20 Multi-Section Line Grouping Data,11,1,MULTI-SECTION LINE DATA,MULTI-SECTION LINE DATA,DUM7,11,1,MULTI-SECTION LINE DATA,MULTI-SECTION LINE DATA,DUM7,11,msline,dum7,Bus numbers
1.20 Multi-Section Line Grouping Data,12,1,MULTI-SECTION LINE DATA,MULTI-SECTION LINE DATA,DUM8,12,1,MULTI-SECTION LINE DATA,MULTI-SECTION LINE DATA,DUM8,12,msline,dum8,Bus numbers
1.20 Multi-Section Line Grouping Data,13,1,MULTI-SECTION LINE DATA,MULTI-SECTION LINE DATA,DUM9,13,1,MULTI-SECTION LINE DATA,MULTI-SECTION LINE DATA,DUM9,13,msline,dum9,Bus numbers
1.21 Zone Data,1,1,ZONE DATA,ZONE DATA,I,1,1,ZONE DATA,ZONE DATA,I,1,zone,izone,Zone number
1.21 Zone Data,2,1,ZONE DATA,ZONE DATA,ZONAME,2,1,ZONE DATA,ZONE DATA,ZONAME,2,zone,zoname,Alphanumeric identifier assigned to zone I
1.22 Interarea Transfer Data,1,1,INTER-AREA TRANSFER DATA,INTER-AREA TRANSFER DATA,ARFROM,1,1,INTER-AREA TRANSFER DATA,INTER-AREA TRANSFER DATA,ARFROM,1,iatransfer,arfrom,From area number
1.22 Interarea Transfer Data,2,1,INTER-AREA TRANSFER DATA,INTER-AREA TRANSFER DATA,ARTO,2,1,INTER-AREA TRANSFER DATA,INTER-AREA TRANSFER DATA,ARTO,2,iatransfer,arto,To area number
1.22 Interarea Transfer Data,3,1,INTER-AREA TRANSFER DATA,INTER-AREA TRANSFER DATA,TRID,3,1,INTER-AREA TRANSFER DATA,INTER-AREA TRANSFER DATA,TRID,3,iatransfer,trid,Single-character interarea transfer identifier used to distinguish among multiple transfers between areas ARFROM and ARTO
1.22 Interarea Transfer Data,4,1,INTER-AREA TRANSFER DATA,INTER-AREA TRANSFER DATA,PTRAN,4,1,INTER-AREA TRANSFER DATA,INTER-AREA TRANSFER DATA,PTRAN,4,iatransfer,ptran,MW comprising this transfer. A positive PTRAN indicates that area ARFROM is selling to area ARTO
1.23 Owner Data,1,1,OWNER DATA,OWNER DATA,I,1,1,OWNER DATA,OWNER DATA,I,1,owner,iowner,Owner number
1.23 Owner Data,2,1,OWNER DATA,OWNER DATA,OWNAME,2,1,OWNER DATA,OWNER DATA,OWNAME,2,owner,owname,Alphanumeric identifier assigned to owner I.
1.24 FACTS Device Data,1,1,FACTS DEVICE DATA,FACTS DEVICE DATA,NAME,1,1,FACTS DEVICE DATA,FACTS DEVICE DATA,NAME,1,facts,name,The non-blank alphanumeric identifier assigned to this FACTS device
1.24 FACTS Device Data,2,1,FACTS DEVICE DATA,FACTS DEVICE DATA,I,2,1,FACTS DEVICE DATA,FACTS DEVICE DATA,I,2,facts,ibus,Sending end bus number
1.24 FACTS Device Data,3,1,FACTS DEVICE DATA,FACTS DEVICE DATA,J,3,1,FACTS DEVICE DATA,FACTS DEVICE DATA,J,3,facts,jbus,Terminal end bus number
1.24 FACTS Device Data,4,1,FACTS DEVICE DATA,FACTS DEVICE DATA,MODE,4,1,FACTS DEVICE DATA,FACTS DEVICE DATA,MODE,4,facts,mode,Controlmode
1.24 FACTS Device Data,5,1,FACTS DEVICE DATA,FACTS DEVICE DATA,PDES,5,1,FACTS DEVICE DATA,FACTS DEVICE DATA,PDES,5,facts,pdes,Desired active power flow arriving at the terminal end bus; entered in MW
1.24 FACTS Device Data,6,1,FACTS DEVICE DATA,FACTS DEVICE DATA,QDES,6,1,FACTS DEVICE DATA,FACTS DEVICE DATA,QDES,6,facts,qdes,Desired reactive power flow arriving at the terminal end bus; entered in MVAR
1.24 FACTS Device Data,7,1,FACTS DEVICE DATA,FACTS DEVICE DATA,VSET,7,1,FACTS DEVICE DATA,FACTS DEVICE DATA,VSET,7,facts,vset,Voltage setpoint at the sending end bus; entered in pu
1.24 FACTS Device Data,8,1,FACTS DEVICE DATA,FACTS DEVICE DATA,SHMX,8,1,FACTS DEVICE DATA,FACTS DEVICE DATA,SHMX,8,facts,shmx,Maximum shunt current at the sending end bus; entered in MVA at unity voltage
1.24 FACTS Device Data,9,1,FACTS DEVICE DATA,FACTS DEVICE DATA,TRMX,9,1,FACTS DEVICE DATA,FACTS DEVICE DATA,TRMX,9,facts,trmx,Maximum bridge active power transfer; entered in MW
1.24 FACTS Device Data,10,1,FACTS DEVICE DATA,FACTS DEVICE DATA,VTMN,10,1,FACTS DEVICE DATA,FACTS DEVICE DATA,VTMN,10,facts,vtmn,Minimum voltage at the terminal end bus; entered in pu.
1.24 FACTS Device Data,11,1,FACTS DEVICE DATA,FACTS DEVICE DATA,VTMX,11,1,FACTS DEVICE DATA,FACTS DEVICE DATA,VTMX,11,facts,vtmx,Maximum voltage at the terminal end bus; entered in pu.
1.24 FACTS Device Data,12,1,FACTS DEVICE DATA,FACTS DEVICE DATA,VSMX,12,1,FACTS DEVICE DATA,FACTS DEVICE DATA,VSMX,12,facts,vsmx,Maximum series voltage; entered in pu
1.24 FACTS Device Data,13,1,FACTS DEVICE DATA,FACTS DEVICE DATA,IMX,13,1,FACTS DEVICE DATA,FACTS DEVICE DATA,IMX,13,facts,imx,"Maximum series current, or zero for no series current limit; entered in MVA at unity voltage"
1.24 FACTS Device Data,14,1,FACTS DEVICE DATA,FACTS DEVICE DATA,LINX,14,1,FACTS DEVICE DATA,FACTS DEVICE DATA,LINX,14,facts,linx,Reactance of the dummy series element used during power flow solutions; entered in pu
1.24 FACTS Device Data,15,1,FACTS DEVICE DATA,FACTS DEVICE DATA,RMPCT,15,1,FACTS DEVICE DATA,FACTS DEVICE DATA,RMPCT,15,facts,rmpct,Percent of the total Mvar required to hold the voltage at the bus controlled by the shunt element
1.24 FACTS Device Data,16,1,FACTS DEVICE DATA,FACTS DEVICE DATA,OWNER,16,1,FACTS DEVICE DATA,FACTS DEVICE DATA,OWNER,16,facts,owner,Owner number
1.24 FACTS Device Data,17,1,FACTS DEVICE DATA,FACTS DEVICE DATA,SET1,17,1,FACTS DEVICE DATA,FACTS DEVICE DATA,SET1,17,facts,set1,
1.24 FACTS Device Data,18,1,FACTS DEVICE DATA,FACTS DEVICE DATA,SET2,18,1,FACTS DEVICE DATA,FACTS DEVICE DATA,SET2,18,facts,set2,
1.24 FACTS Device Data,19,1,FACTS DEVICE DATA,FACTS DEVICE DATA,VSREF,19,1,FACTS DEVICE DATA,FACTS DEVICE DATA,VSREF,19,facts,vsref,"Series voltage reference code to indicate the series voltage reference of SET1 and SET2 when MODE is 4, 7 or 8"
1.24 FACTS Device Data,20,1,FACTS DEVICE DATA,FACTS DEVICE DATA,FCREG,20,1,FACTS DEVICE DATA,FACTS DEVICE DATA,FCREG,20,facts,fcreg,Bus number
1.24 FACTS Device Data,22,1,FACTS DEVICE DATA,FACTS DEVICE DATA,NREG,21,1,FACTS DEVICE DATA,FACTS DEVICE DATA,NREG,21,facts,nreg,A node number of bus FCREG
1.24 FACTS Device Data,21,1,FACTS DEVICE DATA,FACTS DEVICE DATA,MNAME,22,1,FACTS DEVICE DATA,FACTS DEVICE DATA,MNAME,22,facts,mname,The name of the FACTS device that is the IPFC master device when this FACTS device is the slave device of an IPFC
1.25 Switched Shunt Data,1,1,SWITCHED SHUNT DATA,SWITCHED SHUNT DATA,I,1,1,SWITCHED SHUNT DATA,SWITCHED SHUNT DATA,I,1,swshunt,ibus,Bus number
1.25 Switched Shunt Data,N/A,1,N/A,N/A,N/A,2,1,SWITCHED SHUNT DATA,SWITCHED SHUNT DATA,ID,2,swshunt,shntid,One- or two-character uppercase non-blank alphanumeric switched shunt identifier
1.25 Switched Shunt Data,2,1,SWITCHED SHUNT DATA,SWITCHED SHUNT DATA,MODSW,3,1,SWITCHED SHUNT DATA,SWITCHED SHUNT DATA,MODSW,3,swshunt,modsw,Control mode
1.25 Switched Shunt Data,3,1,SWITCHED SHUNT DATA,SWITCHED SHUNT DATA,ADJM,4,1,SWITCHED SHUNT DATA,SWITCHED SHUNT DATA,ADJM,4,swshunt,adjm,Adjustment method
1.25 Switched Shunt Data,4,1,SWITCHED SHUNT DATA,SWITCHED SHUNT DATA,STATUS,5,1,SWITCHED SHUNT DATA,SWITCHED SHUNT DATA,STAT,5,swshunt,stat,Initial status for entire switched shunt.
1.25 Switched Shunt Data,5,1,SWITCHED SHUNT DATA,SWITCHED SHUNT DATA,VSWHI,6,1,SWITCHED SHUNT DATA,SWITCHED SHUNT DATA,VSWHI,6,swshunt,vswhi,
1.25 Switched Shunt Data,6,1,SWITCHED SHUNT DATA,SWITCHED SHUNT DATA,VSWLO,7,1,SWITCHED SHUNT DATA,SWITCHED SHUNT DATA,VSWLO,7,swshunt,vswlo,
1.25 Switched Shunt Data,7,1,SWITCHED SHUNT DATA,SWITCHED SHUNT DATA,SWREG,8,1,SWITCHED SHUNT DATA,SWITCHED SHUNT DATA,SWREG,8,swshunt,swreg,Bus number of the bus for which voltage or connected equipment reactive power output is controlled by this switched shunt
1.25 Switched Shunt Data,27,1,SWITCHED SHUNT DATA,SWITCHED SHUNT DATA,NREG,9,1,SWITCHED SHUNT DATA,SWITCHED SHUNT DATA,NREG,9,swshunt,nreg,A node number of bus SWREG
1.25 Switched Shunt Data,8,1,SWITCHED SHUNT DATA,SWITCHED SHUNT DATA,RMPCT,10,1,SWITCHED SHUNT DATA,SWITCHED SHUNT DATA,RMPCT,10,swshunt,rmpct,Percent of the total Mvar required to hold the voltage at the bus controlled by bus I
1.25 Switched Shunt Data,9,1,SWITCHED SHUNT DATA,SWITCHED SHUNT DATA,RMIDNT,11,1,SWITCHED SHUNT DATA,SWITCHED SHUNT DATA,RMIDNT,11,swshunt,rmidnt,
1.25 Switched Shunt Data,10,1,SWITCHED SHUNT DATA,SWITCHED SHUNT DATA,BINIT,12,1,SWITCHED SHUNT DATA,SWITCHED SHUNT DATA,BINIT,12,swshunt,binit,Initial switched shunt admittance; entered in Mvar at unity voltage
1.25 Switched Shunt Data,N/A,1,N/A,N/A,N/A,13,1,SWITCHED SHUNT DATA,SWITCHED SHUNT DATA,S1,13,swshunt,s1,Initial switched shunt status of one for in-service and zero for out-of-service for block i
1.25 Switched Shunt Data,11,1,SWITCHED SHUNT DATA,SWITCHED SHUNT DATA,N1,14,1,SWITCHED SHUNT DATA,SWITCHED SHUNT DATA,N1,14,swshunt,n1,Number of steps for block i. The first zero value of Ni or Bi is interpreted as the end of the switched shunt blocks for bus I.
1.25 Switched Shunt Data,12,1,SWITCHED SHUNT DATA,SWITCHED SHUNT DATA,B1,15,1,SWITCHED SHUNT DATA,SWITCHED SHUNT DATA,B1,15,swshunt,b1,Admittance increment for each of Ni steps in block i; entered in Mvar at unity voltage.
1.25 Switched Shunt Data,N/A,1,N/A,N/A,N/A,16,1,SWITCHED SHUNT DATA,SWITCHED SHUNT DATA,S2,16,swshunt,s2,Initial switched shunt status of one for in-service and zero for out-of-service for block i
1.25 Switched Shunt Data,13,1,SWITCHED SHUNT DATA,SWITCHED SHUNT DATA,N2,17,1,SWITCHED SHUNT DATA,SWITCHED SHUNT DATA,N2,17,swshunt,n2,Number of steps for block i. The first zero value of Ni or Bi is interpreted as the end of the switched shunt blocks for bus I.
1.25 Switched Shunt Data,14,1,SWITCHED SHUNT DATA,SWITCHED SHUNT DATA,B2,18,1,SWITCHED SHUNT DATA,SWITCHED SHUNT DATA,B2,18,swshunt,b2,Admittance increment for each of Ni steps in block i; entered in Mvar at unity voltage.
1.25 Switched Shunt Data,N/A,1,N/A,N/A,N/A,19,1,SWITCHED SHUNT DATA,SWITCHED SHUNT DATA,S3,19,swshunt,s3,Initial switched shunt status of one for in-service and zero for out-of-service for block i
1.25 Switched Shunt Data,15,1,SWITCHED SHUNT DATA,SWITCHED SHUNT DATA,N3,20,1,SWITCHED SHUNT DATA,SWITCHED SHUNT DATA,N3,20,swshunt,n3,Number of steps for block i. The first zero value of Ni or Bi is interpreted as the end of the switched shunt blocks for bus I.
1.25 Switched Shunt Data,16,1,SWITCHED SHUNT DATA,SWITCHED SHUNT DATA,B3,21,1,SWITCHED SHUNT DATA,SWITCHED SHUNT DATA,B3,21,swshunt,b3,Admittance increment for each of Ni steps in block i; entered in Mvar at unity voltage.
1.25 Switched Shunt Data,N/A,1,N/A,N/A,N/A,22,1,SWITCHED SHUNT DATA,SWITCHED SHUNT DATA,S4,22,swshunt,s4,Initial switched shunt status of one for in-service and zero for out-of-service for block i
1.25 Switched Shunt Data,17,1,SWITCHED SHUNT DATA,SWITCHED SHUNT DATA,N4,23,1,SWITCHED SHUNT DATA,SWITCHED SHUNT DATA,N4,23,swshunt,n4,Number of steps for block i. The first zero value of Ni or Bi is interpreted as the end of the switched shunt blocks for bus I.
1.25 Switched Shunt Data,18,1,SWITCHED SHUNT DATA,SWITCHED SHUNT DATA,B4,24,1,SWITCHED SHUNT DATA,SWITCHED SHUNT DATA,B4,24,swshunt,b4,Admittance increment for each of Ni steps in block i; entered in Mvar at unity voltage.
1.25 Switched Shunt Data,N/A,1,N/A,N/A,N/A,25,1,SWITCHED SHUNT DATA,SWITCHED SHUNT DATA,S5,25,swshunt,s5,Initial switched shunt status of one for in-service and zero for out-of-service for block i
1.25 Switched Shunt Data,19,1,SWITCHED SHUNT DATA,SWITCHED SHUNT DATA,N5,26,1,SWITCHED SHUNT DATA,SWITCHED SHUNT DATA,N5,26,swshunt,n5,Number of steps for block i. The first zero value of Ni or Bi is interpreted as the end of the switched shunt blocks for bus I.
1.25 Switched Shunt Data,20,1,SWITCHED SHUNT DATA,SWITCHED SHUNT DATA,B5,27,1,SWITCHED SHUNT DATA,SWITCHED SHUNT DATA,B5,27,swshunt,b5,Admittance increment for each of Ni steps in block i; entered in Mvar at unity voltage.
1.25 Switched Shunt Data,N/A,1,N/A,N/A,N/A,28,1,SWITCHED SHUNT DATA,SWITCHED SHUNT DATA,S6,28,swshunt,s6,Initial switched shunt status of one for in-service and zero for out-of-service for block i
1.25 Switched Shunt Data,21,1,SWITCHED SHUNT DATA,SWITCHED SHUNT DATA,N6,29,1,SWITCHED SHUNT DATA,SWITCHED SHUNT DATA,N6,29,swshunt,n6,Number of steps for block i. The first zero value of Ni or Bi is interpreted as the end of the switched shunt blocks for bus I.
1.25 Switched Shunt Data,22,1,SWITCHED SHUNT DATA,SWITCHED SHUNT DATA,B6,30,1,SWITCHED SHUNT DATA,SWITCHED SHUNT DATA,B6,30,swshunt,b6,Admittance increment for each of Ni steps in block i; entered in Mvar at unity voltage.
1.25 Switched Shunt Data,N/A,1,N/A,N/A,N/A,31,1,SWITCHED SHUNT DATA,SWITCHED SHUNT DATA,S7,31,swshunt,s7,Initial switched shunt status of one for in-service and zero for out-of-service for block i
1.25 Switched Shunt Data,23,1,SWITCHED SHUNT DATA,SWITCHED SHUNT DATA,N7,32,1,SWITCHED SHUNT DATA,SWITCHED SHUNT DATA,N7,32,swshunt,n7,Number of steps for block i. The first zero value of Ni or Bi is interpreted as the end of the switched shunt blocks for bus I.
1.25 Switched Shunt Data,24,1,SWITCHED SHUNT DATA,SWITCHED SHUNT DATA,B7,33,1,SWITCHED SHUNT DATA,SWITCHED SHUNT DATA,B7,33,swshunt,b7,Admittance increment for each of Ni steps in block i; entered in Mvar at unity voltage.
1.25 Switched Shunt Data,N/A,1,N/A,N/A,N/A,34,1,SWITCHED SHUNT DATA,SWITCHED SHUNT DATA,S8,34,swshunt,s8,Initial switched shunt status of one for in-service and zero for out-of-service for block i
1.25 Switched Shunt Data,25,1,SWITCHED SHUNT DATA,SWITCHED SHUNT DATA,N8,35,1,SWITCHED SHUNT DATA,SWITCHED SHUNT DATA,N8,35,swshunt,n8,Number of steps for block i. The first zero value of Ni or Bi is interpreted as the end of the switched shunt blocks for bus I.
1.25 Switched Shunt Data,26,1,SWITCHED SHUNT DATA,SWITCHED SHUNT DATA,B8,36,1,SWITCHED SHUNT DATA,SWITCHED SHUNT DATA,B8,36,swshunt,b8,Admittance increment for each of Ni steps in block i; entered in Mvar at unity voltage.
1.26 GNE Device Data,1,1,GNE DATA,GNE DATA,NAME,1,1,GNE DATA,GNE DATA,NAME,1,gne,name,The non-blank alphanumeric identifier assigned to this GNE device
1.26 GNE Device Data,2,1,GNE DATA,GNE DATA,MODEL,2,1,GNE DATA,GNE DATA,MODEL,2,gne,model,The name of the BOSL model
1.26 GNE Device Data,3,1,GNE DATA,GNE DATA,NTERM,3,1,GNE DATA,GNE DATA,NTERM,3,gne,nterm,The number of buses to which this instance of the model is connected
1.26 GNE Device Data,4,1,GNE DATA,GNE DATA,BUS1,4,1,GNE DATA,GNE DATA,BUS1,4,gne,bus1,Bus number
1.26 GNE Device Data,5,1,GNE DATA,GNE DATA,BUSNTERM,5,1,GNE DATA,GNE DATA,BUSNTERM,5,gne,bus2,Bus number
1.26 GNE Device Data,6,1,GNE DATA,GNE DATA,NREAL,6,1,GNE DATA,GNE DATA,NREAL,6,gne,nreal,Number of floating point data items required by model MODEL
1.26 GNE Device Data,7,1,GNE DATA,GNE DATA,NINTG,7,1,GNE DATA,GNE DATA,NINTG,7,gne,nintg,Number of buses required in calculating the inputs required by model MODEL
1.26 GNE Device Data,8,1,GNE DATA,GNE DATA,NCHAR,8,1,GNE DATA,GNE DATA,NCHAR,8,gne,nchar,Number of two-character identifiers required in calculating the inputs required by model MODEL
1.26 GNE Device Data,9,2,GNE DATA,GNE DATA,STATUS,9,2,GNE DATA,GNE DATA,STATUS,9,gne,stat,Device status of one for in-service and zero for out-of-service
1.26 GNE Device Data,10,2,GNE DATA,GNE DATA,OWNER,10,2,GNE DATA,GNE DATA,OWNER,10,gne,owner,Owner to which the device is assigned
1.26 GNE Device Data,11,2,GNE DATA,GNE DATA,NMETR,11,2,GNE DATA,GNE DATA,NMETR,11,gne,nmet,Bus number of the non-metered end bus
1.26 GNE Device Data,12,3,GNE DATA,GNE DATA,REAL1,12,3,GNE DATA,GNE DATA,REAL1,12,gne,real1,NREAL floating point data items required by model MODEL
1.26 GNE Device Data,13,3,GNE DATA,GNE DATA,REAL2,13,3,GNE DATA,GNE DATA,REAL2,13,gne,real2,NREAL floating point data items required by model MODEL
1.26 GNE Device Data,14,3,GNE DATA,GNE DATA,REAL3,14,3,GNE DATA,GNE DATA,REAL3,14,gne,real3,NREAL floating point data items required by model MODEL
1.26 GNE Device Data,15,3,GNE DATA,GNE DATA,REAL4,15,3,GNE DATA,GNE DATA,REAL4,15,gne,real4,NREAL floating point data items required by model MODEL
1.26 GNE Device Data,16,3,GNE DATA,GNE DATA,REAL5,16,3,GNE DATA,GNE DATA,REAL5,16,gne,real5,NREAL floating point data items required by model MODEL
1.26 GNE Device Data,17,3,GNE DATA,GNE DATA,REAL6,17,3,GNE DATA,GNE DATA,REAL6,17,gne,real6,NREAL floating point data items required by model MODEL
1.26 GNE Device Data,18,3,GNE DATA,GNE DATA,REAL7,18,3,GNE DATA,GNE DATA,REAL7,18,gne,real7,NREAL floating point data items required by model MODEL
1.26 GNE Device Data,19,3,GNE DATA,GNE DATA,REAL8,19,3,GNE DATA,GNE DATA,REAL8,19,gne,real8,NREAL floating point data items required by model MODEL
1.26 GNE Device Data,20,3,GNE DATA,GNE DATA,REAL9,20,3,GNE DATA,GNE DATA,REAL9,20,gne,real9,NREAL floating point data items required by model MODEL
1.26 GNE Device Data,21,3,GNE DATA,GNE DATA,REAL10,21,3,GNE DATA,GNE DATA,REAL10,21,gne,real10,NREAL floating point data items required by model MODEL
1.26 GNE Device Data,22,4,GNE DATA,GNE DATA,INTG1,22,4,GNE DATA,GNE DATA,INTG1,22,gne,intg1,NINTG bus numbers or extended bus names required by model MODEL
1.26 GNE Device Data,23,4,GNE DATA,GNE DATA,INTG2,23,4,GNE DATA,GNE DATA,INTG2,23,gne,intg2,NINTG bus numbers or extended bus names required by model MODEL
1.26 GNE Device Data,24,4,GNE DATA,GNE DATA,INTG3,24,4,GNE DATA,GNE DATA,INTG3,24,gne,intg3,NINTG bus numbers or extended bus names required by model MODEL
1.26 GNE Device Data,25,4,GNE DATA,GNE DATA,INTG4,25,4,GNE DATA,GNE DATA,INTG4,25,gne,intg4,NINTG bus numbers or extended bus names required by model MODEL
1.26 GNE Device Data,26,4,GNE DATA,GNE DATA,INTG5,26,4,GNE DATA,GNE DATA,INTG5,26,gne,intg5,NINTG bus numbers or extended bus names required by model MODEL
1.26 GNE Device Data,27,4,GNE DATA,GNE DATA,INTG6,27,4,GNE DATA,GNE DATA,INTG6,27,gne,intg6,NINTG bus numbers or extended bus names required by model MODEL
1.26 GNE Device Data,28,4,GNE DATA,GNE DATA,INTG7,28,4,GNE DATA,GNE DATA,INTG7,28,gne,intg7,NINTG bus numbers or extended bus names required by model MODEL
